,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
7045,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1302, ,R6,320 WEST 113 STREET,2,10026,1,0,1, -  , -  ,1905,1,R6,4454843,11/14/2016 0:00
7046,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1401, ,R6,315 WEST 112 STREET,A,10026,1,0,1, -  , -  ,1900,1,R6,3053731,11/23/2016 0:00
7047,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1836,20, ,C4,4 MANHATTAN AVENUE, ,10025,36,0,36,3550,14268,1900,2,C4,2350000,3/23/2017 0:00
7048,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1837,26, ,C4,5 WEST 101 STREET, ,10025,20,0,20,3835,12805,1930,2,C4,10350000,1/17/2017 0:00
7049,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,21, ,C4,21 WEST 106 STREET, ,10025,20,0,20,3028,11390,1920,2,C4,9400000,1/31/2017 0:00
7050,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,62, ,C7,953 COLUMBUS AVENUE, ,10025,10,2,12,1875,7540,1900,2,C7,4554000,8/17/2017 0:00
7051,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,1, ,C7,961 COLUMBUS AVENUE, ,10025,14,1,15,2517,12215,1917,2,C7,7595000,5/16/2017 0:00
7058,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1845,58, ,C1,354 CATHEDRAL PARKWAY, ,10025,30,0,30,5229,20412,1925,2,C1,17000000,10/7/2016 0:00
7060,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,37, ,C4,309 WEST 111 STREET, ,10026,15,0,15,3364,12310,1910,2,C4,8600000,1/3/2017 0:00
7063,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1847,7, ,C5,325 W 112TH STREET, ,10026,12,0,12,1682,3332,1900,2,C5,2200000,8/21/2017 0:00
7064,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1847,61, ,C4,302 WEST 114 STREET, ,10026,20,0,20,2624,8915,1900,2,C4,7150000,8/25/2017 0:00
7065,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2B,1848,5, ,C4,315 WEST 114 STREET, ,10026,10,0,10,2018,8125,1900,2,C4,349622,5/25/2017 0:00
7067,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1848,12, ,C7,2111 FREDRICK DOUGLASS BL, ,10026,13,1,14,2542,11795,1900,2,C7,622843,5/25/2017 0:00
7068,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,53, ,D1,60 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1,38250000,5/10/2017 0:00
7071,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1842,59, ,D1,68 WEST 107 STREET, ,10025,25,0,25,4920,25144,1940,2,D1,12750000,5/10/2017 0:00
7072,1,MANHATTAN VALLEY,08 RENTALS - ELEVATOR APARTMENTS           ,2,1843,22, ,D1,15 WEST 107 STREET, ,10025,30,0,30,7569,31818,1905,2,D1,17052000,5/11/2017 0:00
7073,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1840,57, ,C6,"58 WEST 105 STREET, 4B", ,10025,0,0,0, -  , -  ,1900,2,C6,357000,10/26/2016 0:00
7074,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,"11-15 WEST 108TH STREET, 6", ,10025,0,0,0, -  , -  ,1900,2,C6,225000,10/26/2016 0:00
7076,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,"11 WEST 108 STREET, 33", ,10025,0,0,0, -  , -  ,1900,2,C6,225000,8/7/2017 0:00
7077,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2,1844,24, ,C6,"11 WEST 108TH STREET, 34", ,10025,0,0,0, -  , -  ,1900,2,C6,213200,8/23/2017 0:00
7078,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2C,1849,18, ,C6,"8 MORNINGSIDE AVENUE, 1S", ,10026,0,0,0, -  , -  ,1910,2,C6,526000,11/1/2016 0:00
7079,1,MANHATTAN VALLEY,09 COOPS - WALKUP APARTMENTS               ,2C,1849,18, ,C6,"8 MORNINGSIDE AVENUE, 5S", ,10026,0,0,0, -  , -  ,1910,2,C6,435000,11/29/2016 0:00
7080,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,6, ,D4,"49 WEST 96TH STREET, 1F", ,10025,0,0,0, -  , -  ,1941,2,D4,520000,1/25/2017 0:00
7081,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,6, ,D4,"49 WEST 96TH STREET, 4B", ,10025,0,0,0, -  , -  ,1941,2,D4,685000,3/6/2017 0:00
7082,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,10, ,D4,"41 WEST 96TH STREET, 12 B", ,10025,0,0,0, -  , -  ,1926,2,D4,1915000,3/21/2017 0:00
7083,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,10, ,D4,"41 WEST 96TH STREET, 15AB", ,10025,0,0,0, -  , -  ,1926,2,D4,5415000,6/29/2017 0:00
7084,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,25, ,D4,"7 WEST 96TH STREET, 1E", ,10025,0,0,0, -  , -  ,1931,2,D4,260000,1/21/2017 0:00
7085,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,25, ,D4,"7 WEST 96TH STREET, 15C", ,10025,0,0,0, -  , -  ,1931,2,D4,2050000,7/20/2017 0:00
7086,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,36, ,D4,"370 CENTRAL PARK WEST, 602", ,10025,0,0,0, -  , -  ,1918,2,D4,1500000,1/4/2017 0:00
7087,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,36, ,D4,"370 CENTRAL PARK WEST, 113", ,10025,0,0,0, -  , -  ,1918,2,D4,950000,6/27/2017 0:00
7088,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,31, ,D4,"407 CENTRAL PARK WEST, 4A", ,10025,0,0,0, -  , -  ,1900,2,D4,645000,12/1/2016 0:00
7089,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,31, ,D4,"407 CENTRAL PARK WEST, 4C", ,10025,0,0,0, -  , -  ,1900,2,D4,925000,12/13/2016 0:00
7090,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1836,36, ,D4,"410 CENTRAL PARK WEST, 6B", ,10025,0,0,0, -  , -  ,1929,2,D4,1550000,1/5/2017 0:00
7091,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,"415 CENTRAL PARK WEST, 2D", ,10025,0,0,0, -  , -  ,1926,2,D4,1400000,11/23/2016 0:00
7092,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,"415 CENTRAL PARK WEST, 9C", ,10025,0,0,0, -  , -  ,1926,2,D4,1200000,12/20/2016 0:00
7093,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,"415 CENTRAL PARK WEST, 10D", ,10025,0,0,0, -  , -  ,1926,2,D4,1773000,4/20/2017 0:00
7094,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1837,29, ,D4,"415 CENTRAL PARK WEST, 17E", ,10025,0,0,0, -  , -  ,1926,2,D4,2340000,6/8/2017 0:00
7096,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 16D", ,10025,0,0,0, -  , -  ,1930,2,D4,1582039,12/2/2016 0:00
7097,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 1A", ,10025,0,0,0, -  , -  ,1930,2,D4,2081799,12/2/2016 0:00
7098,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 17F", ,10025,0,0,0, -  , -  ,1930,2,D4,2990163,12/27/2016 0:00
7099,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 17B", ,10025,0,0,0, -  , -  ,1930,2,D4,1935000,3/20/2017 0:00
7100,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 18/19", ,10025,0,0,0, -  , -  ,1930,2,D4,2100000,4/28/2017 0:00
7101,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 4B", ,10025,0,0,0, -  , -  ,1930,2,D4,2624453,6/23/2017 0:00
7102,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 6D", ,10025,0,0,0, -  , -  ,1930,2,D4,1480447,8/1/2017 0:00
7103,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,29, ,D4,"444 CENTRAL PARK WEST, 4G", ,10025,0,0,0, -  , -  ,1930,2,D4,800000,8/24/2017 0:00
7104,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,33, ,D4,"446 CENTRAL PARK WEST, 5C", ,10025,0,0,0, -  , -  ,1920,2,D4,715000,5/4/2017 0:00
7105,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1840,33, ,D4,"446 CENTRAL PARK WEST, 1C", ,10025,0,0,0, -  , -  ,1920,2,D4,320000,6/20/2017 0:00
7107,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,"50 WEST 106TH STREET, 12B", ,10025,0,0,0, -  , -  ,1930,2,D4,585000,1/12/2017 0:00
7108,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,"50 WEST 106TH STREET, 8B", ,10025,0,0,0, -  , -  ,1930,2,D4,525000,2/27/2017 0:00
7109,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1841,52, ,D4,"50 WEST 106TH STREET, 11B", ,10025,0,0,0, -  , -  ,1930,2,D4,604000,8/8/2017 0:00
7110,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,33, ,D4,"485 CENTRAL PARK WEST, 4C", ,10025,0,0,0, -  , -  ,1900,2,D4,486000,12/28/2016 0:00
7111,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,37, ,D4,"4 WEST 109TH STREET, 2B", ,10025,0,0,0, -  , -  ,1890,2,D4,515000,3/29/2017 0:00
7112,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1844,37, ,D4,"4 WEST 109TH STREET, 2G", ,10025,0,0,0, -  , -  ,1890,2,D4,545000,6/14/2017 0:00
7113,1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1849,2, ,D4,"351 WEST 114TH ST, 2E", ,10026,0,0,0, -  , -  ,1901,2,D4,929288,5/26/2017 0:00
7114,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1009, ,R2,11 WEST 104 STREET,9,10025,1,0,1, -  , -  ,1986,2,R2,1395000,7/12/2017 0:00
7115,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1050, ,R2,120 MANHATTAN AVENUE,51,10025,1,0,1, -  , -  ,1986,2,R2,1386000,1/24/2017 0:00
7116,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1840,1057, ,R2,120 MANHATTAN AVENUE,58,10025,1,0,1, -  , -  ,1986,2,R2,1250000,3/10/2017 0:00
7119,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1842,1206, ,R2,69 WEST 106TH STREET,4A,10025,1,0,1, -  , -  ,0,2,R2,817000,6/12/2017 0:00
7120,1,MANHATTAN VALLEY,12 CONDOS - WALKUP APARTMENTS              ,2,1842,1208, ,R2,69 WEST 106 ST,2B,10025,1,0,1, -  , -  ,0,2,R2,795000,3/16/2017 0:00
7121,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1832,1001, ,R4,26 WEST 97 STREET,1A,10025,1,0,1, -  , -  ,1900,2,R4,540000,3/27/2017 0:00
7123,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1832,1007, ,R4,26 WEST 97TH STREET,2C,10025,1,0,1, -  , -  ,1900,2,R4,775000,8/15/2017 0:00
7124,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1020, ,R4,382 CENTRAL PARK WEST,2B,10025,1,0,1, -  , -  ,1961,2,R4,999000,10/7/2016 0:00
7126,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1072, ,R4,382 CENTRAL PARK WEST,4K,10025,1,0,1, -  , -  ,1961,2,R4,1085000,5/26/2017 0:00
7127,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1099, ,R4,382 CENTRAL PARK WEST,5R,10025,1,0,1, -  , -  ,1961,2,R4,70256,6/13/2017 0:00
7131,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1189, ,R4,382 CENTRAL PARK WEST,9T,10025,1,0,1, -  , -  ,1961,2,R4,730000,8/1/2017 0:00
7132,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1201, ,R4,382 CENTRAL PARK WEST,10G,10025,1,0,1, -  , -  ,1961,2,R4,725000,1/31/2017 0:00
7133,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1217, ,R4,382 CENTRAL PARK WEST,11A,10025,1,0,1, -  , -  ,1961,2,R4,1200000,3/17/2017 0:00
7134,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1254, ,R4,382 CENTRAL PARK WEST,12S,10025,1,0,1, -  , -  ,1961,2,R4,723650,8/1/2017 0:00
7136,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1282, ,R4,382 CENTRAL PARK WEST,14Y,10025,1,0,1, -  , -  ,1961,2,R4,807000,11/17/2016 0:00
7138,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1300, ,R4,382 CENTRAL PARK WEST,15U,10025,1,0,1, -  , -  ,1961,2,R4,750000,6/27/2017 0:00
7139,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1303, ,R4,382 CENTRAL PARK WEST,15X,10025,1,0,1, -  , -  ,1961,2,R4,1225000,10/14/2016 0:00
7140,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1319, ,R4,382 CENTRAL PARK WEST,16R,10025,1,0,1, -  , -  ,1961,2,R4,1550000,7/10/2017 0:00
7142,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1400, ,R4,382 CENTRAL PARK WEST,20HJ,10025,1,0,1, -  , -  ,1961,2,R4,980000,8/1/2017 0:00
7143,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2062, ,R4,372 CENTRAL PARK WEST,3Y,10025,1,0,1, -  , -  ,1961,2,R4,951000,1/19/2017 0:00
7144,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2096, ,R4,372 CENTRAL PARK WEST,5M,10025,1,0,1, -  , -  ,1961,2,R4,1280000,5/8/2017 0:00
7145,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2104, ,R4,372 CENTRAL PARK WEST,5W,10025,1,0,1, -  , -  ,1961,2,R4,1145000,7/18/2017 0:00
7146,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2120, ,R4,372 CENTRAL PARK WEST,6P,10025,1,0,1, -  , -  ,1961,2,R4,1675000,8/8/2017 0:00
7147,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2129, ,R4,372 CENTRAL PARK WEST,7A,10025,1,0,1, -  , -  ,1961,2,R4,2400000,6/28/2017 0:00
7149,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2148, ,R4,372 CENTRAL PARK WEST,7W,10025,1,0,1, -  , -  ,1961,2,R4,1150000,3/31/2017 0:00
7153,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2201, ,R4,372 CENTRAL PARK WEST,10G,10025,1,0,1, -  , -  ,1961,2,R4,895000,9/8/2016 0:00
7154,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2206, ,R4,372 CENTRAL PARK WEST,10M,10025,1,0,1, -  , -  ,1961,2,R4,1235000,8/14/2017 0:00
7155,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2259, ,R4,372 CENTRAL PARK WEST,12X,10025,1,0,1, -  , -  ,1961,2,R4,1290000,8/1/2017 0:00
7157,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2345, ,R4,372 CENTRAL PARK WEST,17V,10025,1,0,1, -  , -  ,1961,2,R4,1035000,10/28/2016 0:00
7158,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2362, ,R4,372 CENTRAL PARK WEST,18P,10025,1,0,1, -  , -  ,1961,2,R4,384649,2/15/2017 0:00
7160,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2406, ,R4,372 CENTRAL PARK WEST,20P,10025,1,0,1, -  , -  ,1961,2,R4,1735000,3/28/2017 0:00
7161,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2412, ,R4,372 CENTRAL PARK WEST,20W,10025,1,0,1, -  , -  ,1961,2,R4,1400000,6/20/2017 0:00
7162,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,2414, ,R4,372 CENTRAL PARK WEST,20Y,10025,1,0,1, -  , -  ,1961,2,R4,893500,5/19/2017 0:00
7164,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3027, ,R4,392 CENTRAL PARK WEST,2J,10025,1,0,1, -  , -  ,1960,2,R4,1226500,8/30/2017 0:00
7165,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3039, ,R4,392 CENTRAL PARK WEST,2X,10025,1,0,1, -  , -  ,1960,2,R4,1200000,2/1/2017 0:00
7166,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3068, ,R4,392 CENTRAL PARK WEST,4F,10025,1,0,1, -  , -  ,1960,2,R4,780000,1/30/2017 0:00
7167,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3106, ,R4,392 CENTRAL PARK WEST,5Y,10025,1,0,1, -  , -  ,1960,2,R4,840000,2/24/2017 0:00
7168,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3133, ,R4,392 CENTRAL PARK WEST,7E,10025,1,0,1, -  , -  ,1960,2,R4,785000,12/5/2016 0:00
7169,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3149, ,R4,392 CENTRAL PARK WEST,7X,10025,1,0,1, -  , -  ,1960,2,R4,1328600,6/22/2017 0:00
7171,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3176, ,R4,392 CENTRAL PARK WEST,9D,10025,1,0,1, -  , -  ,1960,2,R4,1885000,5/3/2017 0:00
7172,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3188, ,R4,392 CENTRAL PARK WEST,9S,10025,1,0,1, -  , -  ,1960,2,R4,815000,12/29/2016 0:00
7174,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3250, ,R4,392 CENTRAL PARK WEST,12M,10025,1,0,1, -  , -  ,1960,2,R4,1145000,8/8/2017 0:00
7176,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3361, ,R4,392 CENTRAL PARK WEST,18N,10025,1,0,1, -  , -  ,1960,2,R4,1100000,1/12/2017 0:00
7177,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3374, ,R4,392 CENTRAL PARK WEST,19D,10025,1,0,1, -  , -  ,1960,2,R4,1750000,7/11/2017 0:00
7178,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3381, ,R4,392 CENTRAL PARK WEST,19L,10025,1,0,1, -  , -  ,1960,2,R4,870000,5/25/2017 0:00
7179,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,3403, ,R4,392 CENTRAL PARK WEST,20L,10025,1,0,1, -  , -  ,1960,2,R4,900000,7/20/2017 0:00
7182,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4069, ,R4,400 CENTRAL PARK WEST,4G,10025,1,0,1, -  , -  ,1960,2,R4,715000,3/10/2017 0:00
7184,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4104, ,R4,400 CENTRAL PARK WEST,5W,10025,1,0,1, -  , -  ,1960,2,R4,1220000,2/28/2017 0:00
7185,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4106, ,R4,400 CENTRAL PARK WEST,5Y,10025,1,0,1, -  , -  ,1960,2,R4,867500,5/12/2017 0:00
7186,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4113, ,R4,400 CENTRAL PARK WEST,6G,10025,1,0,1, -  , -  ,1960,2,R4,785000,4/24/2017 0:00
7187,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4124, ,R4,400 CENTRAL PARK WEST,6U,10025,1,0,1, -  , -  ,1960,2,R4,815000,12/29/2016 0:00
7188,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4125, ,R4,400 CENTRAL PARK WEST,6V,10025,1,0,1, -  , -  ,1960,2,R4,870000,6/21/2017 0:00
7191,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4190, ,R4,400 CENTRAL PARK WEST,9U,10025,1,0,1, -  , -  ,1960,2,R4,715000,5/1/2017 0:00
7192,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4226, ,R4,400 CENTRAL PARK WEST,11K,10025,1,0,1, -  , -  ,1960,2,R4,1375000,11/21/2016 0:00
7196,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4285, ,R4,400 CENTRAL PARK WEST,15C,10025,1,0,1, -  , -  ,1960,2,R4,1750000,9/19/2016 0:00
7197,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4287, ,R4,400 CENTRAL PARK WEST,15E,10025,1,0,1, -  , -  ,1960,2,R4,770000,10/18/2016 0:00
7198,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4322, ,R4,400 CENTRAL PARK WEST,16U,10025,1,0,1, -  , -  ,1960,2,R4,740000,10/14/2016 0:00
7199,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4332, ,R4,400 CENTRAL PARK WEST,17F,10025,1,0,1, -  , -  ,1960,2,R4,859815,9/15/2016 0:00
7201,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4349, ,R4,400 CENTRAL PARK WEST,18A,10025,1,0,1, -  , -  ,1960,2,R4,1395000,1/18/2017 0:00
7202,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4358, ,R4,400 CENTRAL PARK WEST,18K,10025,1,0,1, -  , -  ,1960,2,R4,992000,11/1/2016 0:00
7203,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4373, ,R4,400 CENTRAL PARK WEST,19C,10025,1,0,1, -  , -  ,1960,2,R4,1715000,10/7/2016 0:00
7204,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,4375, ,R4,400 CENTRAL PARK WEST,19E,10025,1,0,1, -  , -  ,1960,2,R4,750000,6/13/2017 0:00
7211,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1018, ,R4,420 CENTRAL PARK WEST,2H,10025,1,0,1, -  , -  ,1941,2,R4,800000,9/6/2016 0:00
7212,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1021, ,R4,420 CENTRAL PARK WEST,3A,10025,1,0,1, -  , -  ,1941,2,R4,571000,9/7/2016 0:00
7213,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1032, ,R4,420 CENTRAL PARK WEST,4B,10025,1,0,1, -  , -  ,1941,2,R4,1860000,11/1/2016 0:00
7217,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1058, ,R4,420 CENTRAL PARK WEST,6H,10025,1,0,1, -  , -  ,1941,2,R4,815000,12/1/2016 0:00
7218,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1127, ,R4,425 CENTRAL PARK WEST,4F,10025,1,0,1, -  , -  ,1941,2,R4,860201,4/7/2017 0:00
7219,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1838,1145, ,R4,425 CENTRAL PARK WEST,6D,10025,1,0,1, -  , -  ,1941,2,R4,1599000,7/10/2017 0:00
7220,1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1841,1280, ,R4,455 CENTRAL PARK WEST,18C,10025,1,0,1, -  , -  ,2002,2,R4,4450000,6/15/2017 0:00
